"년월일","호기","구분","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2017-01-01","1","발전량","0","0","0","0","0","0","0","0","74.16","192.96","393.84","511.2","538.56","520.56","444.24","298.08","105.12","4.32","0","0","0","0","0","0"
"2017-01-02","1","발전량","0","0","0","0","0","0","0","0","72","244.08","403.2","491.76","529.2","512.64","401.76","262.8","43.92","2.88","0","0","0","0","0","0"
"2017-01-03","1","발전량","0","0","0","0","0","0","0","0.72","87.12","275.04","421.2","509.04","542.16","520.56","446.4","300.96","108.72","5.04","0","0","0","0","0","0"
"2017-01-04","1","발전량","0","0","0","0","0","0","0","0","42.48","146.88","234.72","362.88","439.2","444.24","321.84","162","107.28","7.2","0","0","0","0","0","0"
"2017-01-05","1","발전량","0","0","0","0","0","0","0","0.72","38.16","195.12","293.76","294.48","259.2","202.32","126","79.92","14.4","0","0","0","0","0","0","0"
"2017-01-06","1","발전량","0","0","0","0","0","0","0","0.72","41.04","204.48","422.64","514.8","544.32","534.96","465.84","315.36","119.52","2.88","0","0","0","0","0","0"
"2017-01-07","1","발전량","0","0","0","0","0","0","0","0.72","43.2","157.68","218.88","329.76","266.4","198.72","224.64","82.8","28.8","0","0","0","0","0","0","0"
"2017-01-08","1","발전량","0","0","0","0","0","0","0","0","15.12","185.76","280.08","192.96","234.72","263.52","378","302.4","129.6","5.76","0","0","0","0","0","0"
"2017-01-09","1","발전량","0","0","0","0","0","0","0","0.72","57.6","189.36","270.72","303.84","523.44","545.76","486.72","340.56","134.64","7.92","0","0","0","0","0","0"
"2017-01-10","1","발전량","0","0","0","0","0","0","0","1.44","97.2","289.44","452.88","558","594","580.32","511.2","357.84","146.16","9.36","0","0","0","0","0","0"
"2017-01-11","1","발전량","0","0","0","0","0","0","0","0.72","96.48","311.04","477.36","500.4","384.48","586.8","512.64","360","145.44","10.8","0","0","0","0","0","0"
"2017-01-12","1","발전량","0","0","0","0","0","0","0","0.72","49.68","187.2","307.44","506.88","583.92","505.44","376.56","287.28","87.84","7.92","0","0","0","0","0","0"
"2017-01-13","1","발전량","0","0","0","0","0","0","0","0.72","90.72","270","419.04","503.28","458.64","191.52","388.8","240.48","140.4","7.92","0","0","0","0","0","0"
"2017-01-14","1","발전량","0","0","0","0","0","0","0","1.44","102.96","314.64","479.52","599.76","647.28","633.6","559.44","414.72","185.76","12.96","0","0","0","0","0","0"
"2017-01-15","1","발전량","0","0","0","0","0","0","0","1.44","106.56","317.52","488.88","583.92","619.92","603.36","539.28","398.16","182.16","13.68","0","0","0","0","0","0"
"2017-01-16","1","발전량","0","0","0","0","0","0","0","2.16","100.08","298.8","483.12","586.08","619.92","611.28","540.72","400.32","182.88","13.68","0","0","0","0","0","0"
"2017-01-17","1","발전량","0","0","0","0","0","0","0","2.88","84.96","236.16","343.44","418.32","390.24","271.44","231.12","160.56","73.44","9.36","0","0","0","0","0","0"
"2017-01-18","1","발전량","0","0","0","0","0","0","0","0.72","55.44","234.72","362.16","457.2","527.76","423.36","388.08","140.4","50.4","5.04","0","0","0","0","0","0"
"2017-01-19","1","발전량","0","0","0","0","0","0","0","1.44","46.8","178.56","295.92","401.76","447.12","452.88","456.48","316.08","140.4","12.96","0","0","0","0","0","0"
"2017-01-20","1","발전량","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-01-21","1","발전량","0","0","0","0","0","0","0","0","0","0","0","200.88","361.44","438.48","339.12","200.88","162.72","18","0","0","0","0","0","0"
"2017-01-22","1","발전량","0","0","0","0","0","0","0","0.72","84.96","298.8","484.56","586.8","626.4","619.2","552.96","414","189.36","18.72","0","0","0","0","0","0"
"2017-01-23","1","발전량","0","0","0","0","0","0","0","2.16","100.8","308.16","471.6","596.88","642.96","642.96","576.72","439.2","219.6","24.48","0","0","0","0","0","0"
"2017-01-24","1","발전량","0","0","0","0","0","0","0","2.88","116.64","321.12","485.28","582.48","624.96","631.44","564.48","431.28","219.6","25.92","0","0","0","0","0","0"
"2017-01-25","1","발전량","0","0","0","0","0","0","0","2.88","120.96","316.08","478.8","576.72","619.2","602.64","534.96","403.2","208.08","26.64","0","0","0","0","0","0"
"2017-01-26","1","발전량","0","0","0","0","0","0","0","3.6","115.92","313.92","476.64","579.6","607.68","596.16","497.52","407.52","176.4","33.84","0","0","0","0","0","0"
"2017-01-27","1","발전량","0","0","0","0","0","0","0","0","21.6","83.52","224.64","594","639.36","622.8","561.6","437.04","232.56","30.96","0","0","0","0","0","0"
"2017-01-28","1","발전량","0","0","0","0","0","0","0","4.32","116.64","321.12","483.12","580.32","610.56","594","528.48","393.84","145.44","20.88","0","0","0","0","0","0"
"2017-01-29","1","발전량","0","0","0","0","0","0","0","0","3.6","11.52","33.12","30.96","23.76","23.76","60.48","66.96","32.4","5.04","0","0","0","0","0","0"
"2017-01-30","1","발전량","0","0","0","0","0","0","0","0.72","82.8","306","486","591.84","642.24","647.28","566.64","437.76","239.76","38.16","0","0","0","0","0","0"
"2017-01-31","1","발전량","0","0","0","0","0","0","0","3.6","113.04","312.48","475.2","581.76","621.36","610.56","555.12","416.88","246.96","43.2","0","0","0","0","0","0"
"2017-02-01","1","발전량","0","0","0","0","0","0","0","0","39.6","144","446.4","560.16","642.24","632.16","581.04","458.64","249.12","41.04","0","0","0","0","0","0"
"2017-02-02","1","발전량","0","0","0","0","0","0","0","6.48","140.4","356.4","527.76","613.44","647.28","646.56","607.68","486","277.92","49.68","0","0","0","0","0","0"
"2017-02-03","1","발전량","0","0","0","0","0","0","0","6.48","142.56","298.8","478.08","576.72","558","389.52","432.72","329.04","147.6","41.76","0","0","0","0","0","0"
"2017-02-04","1","발전량","0","0","0","0","0","0","0","0","30.96","282.96","458.64","559.44","437.76","270.72","249.12","113.04","34.56","0.72","0","0","0","0","0","0"
"2017-02-05","1","발전량","0","0","0","0","0","0","0","0.72","33.84","190.8","319.68","327.6","305.28","249.84","475.2","91.44","62.64","16.56","0","0","0","0","0","0"
"2017-02-06","1","발전량","0","0","0","0","0","0","0","5.76","127.44","342.72","521.28","635.04","671.76","657.36","601.2","478.8","280.08","42.48","0","0","0","0","0","0"
"2017-02-07","1","발전량","0","0","0","0","0","0","0","2.88","54.72","128.88","284.4","468","608.4","567.36","520.56","280.08","81.36","25.2","0","0","0","0","0","0"
"2017-02-08","1","발전량","0","0","0","0","0","0","0","2.16","52.56","111.6","185.04","294.48","336.96","292.32","210.96","233.28","78.48","16.56","0","0","0","0","0","0"
"2017-02-09","1","발전량","0","0","0","0","0","0","0","4.32","93.6","325.44","569.52","643.68","688.32","687.6","624.24","498.96","300.24","59.76","0","0","0","0","0","0"
"2017-02-10","1","발전량","0","0","0","0","0","0","0","9.36","138.96","357.84","501.84","617.04","683.28","660.24","625.68","502.56","300.96","66.24","0","0","0","0","0","0"
