지점,지점명,일시,평균기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),평균 전운량(1/10)
192,진주,2012-03-10,6.5,0,3.2,1,55,8.3,2.13,13.96,,4.8
192,진주,2012-03-11,1.1,,5.4,2.5,38.9,10.6,3.08,20.56,,2.1
192,진주,2012-03-12,1.5,,5.4,2.4,27.5,11.2,3.06,21.53,,0
192,진주,2012-03-13,1.9,,3.2,1,46.3,11.1,2.95,20.61,,.3
192,진주,2012-03-14,4.3,,4.7,1.3,54.1,9.9,2.87,19.44,,.8
192,진주,2012-03-15,6.5,,4.1,1.4,52.9,10,2.91,20.15,,3.3
192,진주,2012-03-16,5.9,11,2.1,.7,82.6,0,.62,2.47,,9.8
192,진주,2012-03-17,11.4,1,2.7,1,82.1,3,2.29,11.25,,8.9
192,진주,2012-03-18,11.4,.5,4.8,1.6,61.3,7.6,3.01,17.2,,5.3
192,진주,2012-03-19,5.7,,3.3,1.1,58.5,9,2.56,17.11,,3.5
192,진주,2012-03-20,6.3,,4.1,1.4,36.5,10.8,2.95,20.37,,1.8
192,진주,2012-03-21,6.4,,3.7,1.6,36,10.9,3.08,21.9,,.3
192,진주,2012-03-22,3.9,21.5,1.6,.6,84.1,0,.63,3.01,,8.6
192,진주,2012-03-23,6.9,16.5,3.9,1.1,89.9,0,.36,2,,9.3
192,진주,2012-03-24,6.5,,7,3.4,38.8,9.8,3.26,22.13,,2.5
192,진주,2012-03-25,4.8,,5.8,2.7,35.6,11.4,2.75,20.27,,1
192,진주,2012-03-26,4.9,,3.1,.9,47.5,11.5,3.21,23.67,,0
192,진주,2012-03-27,7.9,,5,1.4,51.4,11.1,3.11,22.21,,.4
192,진주,2012-03-28,10.5,,6.2,1.3,55.1,11.1,3.12,22.42,,.1
192,진주,2012-03-29,11.4,,3.6,1.2,70.8,8.2,2.69,18.2,,4.9
192,진주,2012-03-30,13.6,45,4.3,1.7,89.8,0,.39,2,,10
192,진주,2012-03-31,9.1,,7.5,3.2,26.9,11.2,3,21.78,,2.4
192,진주,2012-04-01,6.3,,4.5,1.7,38.3,11.4,3.13,23.23,,0
192,진주,2012-04-02,9.4,5,3.9,1.4,73,8.5,3.2,19.5,,5
192,진주,2012-04-03,9.8,12,8.6,4.2,48.8,10.4,3.44,22.94,,4
192,진주,2012-04-04,9.4,,6.1,2.6,42.5,11.1,3,22.04,,1.1
192,진주,2012-04-05,10.2,,7.3,2.5,37.1,11.3,2.91,21.36,,.9
192,진주,2012-04-06,8,,7.2,2.7,29.6,12,3.43,23.82,,.5
192,진주,2012-04-07,7.6,,4.9,2,39.8,11.6,3.33,24.51,,0
192,진주,2012-04-08,13,,4.7,1.7,50.8,11.4,3.15,23.66,,1
192,진주,2012-04-09,17.1,,4,2,59.4,9.8,2.86,20.39,,3.6
192,진주,2012-04-10,12.3,7,2.9,.8,87.5,0,.89,3.81,,9.9
192,진주,2012-04-11,14.6,.4,4.6,1.3,74.6,5.8,2.16,13.04,,5.6
192,진주,2012-04-12,13.2,,3.5,1.2,47.1,11.5,3.3,24.56,,3.4
192,진주,2012-04-13,12.2,.2,2.9,1.1,52,0,1.45,6.32,,9.9
192,진주,2012-04-14,14.4,,3.8,1.2,57.5,11.3,3.24,24.02,,2.5
192,진주,2012-04-15,15.3,,3.7,1.1,55.8,10,3.2,23.04,,4.8
