지점,지점명,일시,평균기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),평균 전운량(1/10)
192,진주,2014-04-25,15,,3.6,1,49.1,11.1,3.13,23.39,,.1
192,진주,2014-04-26,15.2,,3.6,.8,58.1,7.1,2.36,17.56,,6.3
192,진주,2014-04-27,14.9,12,2,.5,79.5,0,.62,3.91,,10
192,진주,2014-04-28,13.2,52.5,3.5,1.2,97.6,0,.35,1.84,,10
192,진주,2014-04-29,13.8,13.5,2.4,.6,97.8,0,1.34,4.79,,10
192,진주,2014-04-30,15.3,.2,4.4,.9,87.9,3.8,2.71,12.71,,8.9
192,진주,2014-05-01,17,.5,3.3,1,75.3,10.1,3.33,23.65,,3.5
192,진주,2014-05-02,17.9,,4,1.5,61.1,10.6,3.23,24.35,,2.4
192,진주,2014-05-03,15.9,,4.6,1.9,39.1,11.8,3.56,28.59,,1.9
192,진주,2014-05-04,14.1,0,4.4,1.6,61,2.6,2.53,15.18,,8
192,진주,2014-05-05,12.3,0,4.1,1.7,34.8,12.1,3.51,27.86,,1.5
192,진주,2014-05-06,12.6,,3.5,1.4,41.5,12.7,3.5,28.26,,.1
192,진주,2014-05-07,13.6,,4.2,1.4,58.3,12.7,3.5,28.12,,1
192,진주,2014-05-08,17.6,2,5.2,1.9,52.1,10.1,3.45,24.56,,3.3
192,진주,2014-05-09,15.9,,5,1.3,55,12.1,3.31,26.24,,.1
192,진주,2014-05-10,15.7,,4.6,1.4,53.5,12,3.33,26.93,,1.4
192,진주,2014-05-11,16.2,33,5.6,1.3,65.8,7.5,3.06,18.77,,7.4
192,진주,2014-05-12,20.6,41,3.7,2,57.6,10.1,3.31,22.24,,5.3
192,진주,2014-05-13,19.5,,4.3,1.5,59.1,12.5,3.29,26.53,,.9
192,진주,2014-05-14,16.3,.5,3,.7,78.4,.7,.92,7.16,,8.5
192,진주,2014-05-15,19.5,.2,5.2,1.6,52.6,10.2,3.43,24.92,,4.8
192,진주,2014-05-16,19.3,,3.9,1.3,48.6,12,3.35,26.84,,1.9
192,진주,2014-05-17,20.1,,4.6,1.2,47.8,12.2,3.43,27.3,,3.6
192,진주,2014-05-18,19.1,,3.7,1.2,52.8,12.3,3.49,27,,3
192,진주,2014-05-19,19.5,,2.9,1.1,54.6,10,3.28,25.06,,3
192,진주,2014-05-20,16.7,2,2.3,.7,79.6,.1,.92,5.26,,8
192,진주,2014-05-21,19.8,,3.7,1.3,62.6,11.5,3.51,27.29,,0
192,진주,2014-05-22,19.8,,3.7,1.3,60.5,12.2,3.4,27.23,,.3
192,진주,2014-05-23,18.6,,3.1,1.3,73.8,3.7,2.3,15.24,,6.1
192,진주,2014-05-24,19.7,,3.4,1.3,73.5,6.4,2.91,20.14,,6
192,진주,2014-05-25,19.5,11,4,1.4,84.8,2.4,2.46,13.28,,9.8
192,진주,2014-05-26,20.6,1,3.9,1.3,64.5,7.6,2.88,20.06,,4.5
192,진주,2014-05-27,20.6,,3.7,1.3,53.8,12.2,3.36,26.39,,2.1
192,진주,2014-05-28,21.6,0,3.6,1.6,74.1,7.8,3,21.47,,1.6
192,진주,2014-05-29,22.7,,3.3,1.1,59.4,12.1,3.38,27.47,,3.5
192,진주,2014-05-30,22.9,,3.2,1.1,60.1,11,3.38,27.11,,0
192,진주,2014-05-31,23.4,,3.3,1.2,56.1,12.1,3.31,26.33,,.5
192,진주,2014-06-01,21.6,,2.8,.9,68.9,1.6,2.48,14.6,,8.1
192,진주,2014-06-02,19.1,7.5,4.2,1.3,78,.7,1.38,6.89,,10
192,진주,2014-06-03,18.1,11.5,2.8,.8,97.6,0,.34,2.18,,10
192,진주,2014-06-04,20.5,6,3.8,1.6,71.4,3.3,2.58,11.45,,9.4
192,진주,2014-06-05,20.7,,3.3,1.8,65.3,.6,1.35,8.53,,9.9
192,진주,2014-06-06,20.6,,3.4,1.1,69.5,7.5,2.57,17.08,,5.6
192,진주,2014-06-07,20.5,,3.3,1.2,73.3,8.8,3.2,22.44,,4.8
192,진주,2014-06-08,20.4,,3.3,1.2,75,3.7,2.02,14.07,,8.6
192,진주,2014-06-09,20.8,,2.9,1.1,72,1.1,1.65,9.46,,9
192,진주,2014-06-10,21.7,0,3.2,1.3,68.6,1.2,2.18,10.38,,8.6
192,진주,2014-06-11,21.2,49.5,3.6,1.4,72.6,7.8,2.81,19.37,,7.6
192,진주,2014-06-12,18.6,34,3,1.1,85.3,3.1,2.72,12.84,,8.8
192,진주,2014-06-13,21,1.5,2.8,.9,76.4,9.6,3.45,22.68,,4.4
192,진주,2014-06-14,21.7,,2.7,1.1,70,10.7,3.34,25.44,,3.5
192,진주,2014-06-15,22.1,,3.4,1.1,66.3,11.6,3.21,25.81,,4.6
192,진주,2014-06-16,22.9,,2.5,.8,62,8.4,3.4,22.62,,7.6
192,진주,2014-06-17,20.6,1.5,3,.9,74.3,2.9,2.24,10.48,,9.1
192,진주,2014-06-18,22.6,,3.2,1.4,60.5,7.5,2.61,18.83,,4.9
192,진주,2014-06-19,22.3,,3.7,1.1,72.9,8.3,3.21,23.06,,2.8
192,진주,2014-06-20,21.8,,3,1.3,77.1,.5,1.68,11.99,,8.1
192,진주,2014-06-21,20.6,2,2.6,1.1,81.5,.2,1,6.04,,10
192,진주,2014-06-22,21.3,.1,2.6,1,72.9,1.1,1.28,11.98,,9.4
192,진주,2014-06-23,20.7,13.5,2.9,1,88.9,1.2,2.02,10.69,,8.5
192,진주,2014-06-24,21.5,16.5,4.1,.8,87.5,6.1,2.85,18.32,,5.8
192,진주,2014-06-25,22,,2.7,1.1,80.4,5.4,2.86,19.45,,8
192,진주,2014-06-26,22.1,,3,1,78.6,8.8,3.02,21.01,,5.1
192,진주,2014-06-27,23.1,,3.4,1.4,70.5,10.2,3.32,25.75,,4.9
192,진주,2014-06-28,24.7,,3,1,61.6,10.1,3.29,23.7,,4.5
192,진주,2014-06-29,23.1,,2.9,1.1,68.5,9.1,3.2,21.37,,3.4
192,진주,2014-06-30,24.2,,3.2,1.1,76,8.3,3.36,20.77,,5.5
192,진주,2014-07-01,24.8,,3.2,1.2,68.5,11.2,3.43,26.93,,3.3
192,진주,2014-07-02,21.6,21,3.1,1,85.3,0,1.06,8.33,,9.3
192,진주,2014-07-03,20.5,39,1.9,.6,97.9,0,.62,3.56,,10
192,진주,2014-07-04,22.7,,3.1,1,84.3,1.7,1.62,12.75,,9.8
192,진주,2014-07-05,22.9,,3.4,.9,85.1,.1,1.62,9.64,,9.8
192,진주,2014-07-06,20,12,2,.7,97.9,0,.32,2.33,,10
192,진주,2014-07-07,21.4,4.5,2,.6,98,0,.55,4.48,,9.9
192,진주,2014-07-08,22.7,13.5,2,.4,98,0,.67,5.03,,9.6
192,진주,2014-07-09,24.8,10.5,3.8,1.1,94.9,.4,1.76,7.34,,8.3
192,진주,2014-07-10,27.6,,4.2,1.5,70,11.1,3.15,23.96,,5.8
192,진주,2014-07-11,26.3,,3.8,1.2,62.1,10.8,3.47,26.05,,4.5
192,진주,2014-07-12,23.4,.4,2.9,.8,78.9,.4,1.4,10.82,,8.6
192,진주,2014-07-13,22.7,18,2.4,.9,89.3,4.5,2.33,14.36,,8.1
192,진주,2014-07-14,25.3,0,3.4,1.2,76.8,10.6,3.25,24.66,,2.8
192,진주,2014-07-15,23.1,3.5,2,.8,91.3,0,1.33,6.7,,9.3
192,진주,2014-07-16,24.1,4,2.5,1.1,86.4,4.1,2.7,16.93,,9.1
192,진주,2014-07-17,22.9,15.5,2.6,.8,98,0,1.07,5.64,,10
192,진주,2014-07-18,22.6,24,3.5,.9,96.9,.2,1.2,5.32,,9.3
192,진주,2014-07-19,25,,3,1.1,85.1,6.5,2.03,16,,6.9
192,진주,2014-07-20,25.8,1,3.3,.8,84.1,9.5,2.8,20.65,,6.3
192,진주,2014-07-21,25.7,,2.7,1.1,83,9.1,3.19,22.44,,2.6
192,진주,2014-07-22,26.1,,3.2,1.5,79.8,10.2,2.76,19.51,,5.1
192,진주,2014-07-23,27.8,,3.1,1.7,76.5,10,3.41,22.88,,5
192,진주,2014-07-24,28.3,.4,3.6,1.5,83.5,7.3,3.1,18.44,,5.5
192,진주,2014-07-25,28.2,1.5,3.8,2,83.8,10.6,3.08,22.79,,6.6
192,진주,2014-07-26,27.2,2,5.3,2.8,68,11.6,3.02,23.82,,4.1
192,진주,2014-07-27,23.5,,3.5,1.1,68.6,12.7,3.36,26.75,,3
192,진주,2014-07-28,22.5,4,2.6,.9,82.9,3.4,2.51,13.88,,8.5
192,진주,2014-07-29,24.2,.5,3.1,1,84.4,5.3,2.45,16.18,,7
192,진주,2014-07-30,27.2,,3.1,.9,76.8,9.4,3.21,23.34,,3.5
192,진주,2014-07-31,27.5,11,5.2,1.1,79.3,8.8,3.24,20.59,,4.9
192,진주,2014-08-01,26.8,.5,5.2,1.5,77.3,1.4,1.64,10.25,,9.5
192,진주,2014-08-02,25.3,77,6.4,3.4,89.1,0,.43,2.62,,10
192,진주,2014-08-03,24.3,94.5,4.7,2.4,97.1,0,.57,2.33,,10
192,진주,2014-08-04,24,7,2.9,1.4,97.9,0,.59,3.69,,10
192,진주,2014-08-05,27.1,.5,2.8,1.2,83.6,8,2.92,18.51,,6
192,진주,2014-08-06,27,,2.8,1,82,8.2,2.68,19.11,,5.9
192,진주,2014-08-07,24.8,47,3,.8,91.3,.5,1.29,8.81,,9.8
192,진주,2014-08-08,23.1,.1,3.4,1.7,81.6,.3,1.53,10.3,,10
192,진주,2014-08-09,24.2,,4.2,2.8,69.3,1.9,1.51,10.65,,7.6
192,진주,2014-08-10,24.7,10.5,3.2,1.3,76.9,4.7,3.18,15.69,,8.4
192,진주,2014-08-11,24,,2.8,.9,81.4,9.9,3.08,22.81,,5.4
192,진주,2014-08-12,24.3,,2.9,1,71.4,11.1,3.3,25.29,,3.4
192,진주,2014-08-13,23.9,0,1.4,.5,81.8,.1,1.13,7.14,,9.3
192,진주,2014-08-14,20.6,38,2.1,1,95.8,0,.46,3.5,,10
192,진주,2014-08-15,23.6,4,3,.9,87.9,3.8,2.59,13.67,,8.1
192,진주,2014-08-16,24.7,,3.3,1.2,80,6.7,2.72,17.42,,7.5
192,진주,2014-08-17,22.9,28,3,1,86.3,1.1,1.81,9.89,,9.6
192,진주,2014-08-18,21.5,55.5,2.1,.7,98,0,.64,2.68,,10
192,진주,2014-08-19,24,5,2.6,1,94,1.7,2.08,9.38,,9.3
192,진주,2014-08-20,23.3,31,2.2,.5,98,0,1.16,4.98,,10
192,진주,2014-08-21,24.6,52.5,4.6,1.9,83.1,7.3,1.85,14.2,,7
192,진주,2014-08-22,24.2,,2.5,.8,76.6,10.2,3.16,22.38,,2.4
192,진주,2014-08-23,24.1,,2.4,.8,80.1,9,2.69,19.29,,5.5
192,진주,2014-08-24,23.1,2.5,1.6,.5,95,0,.87,4.76,,9.4
192,진주,2014-08-25,23.1,85.5,2.7,.7,98,0,.18,.41,,10
192,진주,2014-08-26,25.3,3.5,2.5,.8,85.3,7.6,3,19.25,,8
192,진주,2014-08-27,22,36.5,3.7,.9,92.8,.2,1.21,6.26,,10
192,진주,2014-08-28,21.2,.5,2.4,.7,86.9,.2,1.64,8.18,,10
192,진주,2014-08-29,21.6,1,3.5,1,81.9,5.7,2.92,14.31,,8.1
192,진주,2014-08-30,21.6,,3.1,.8,75.5,11.2,2.4,19.45,,3.3
192,진주,2014-08-31,20.5,,2.3,.7,78.4,5.9,2.19,13.8,,6.8
192,진주,2014-09-01,22.1,,3.1,1.1,74.4,11.3,3.2,23.07,,3.9
192,진주,2014-09-02,20.4,7.5,3.3,.9,87.1,1.4,1.46,9.09,,8.9
192,진주,2014-09-03,21.9,8,3.1,1.1,97.3,.1,1.19,4.73,,9.9
192,진주,2014-09-04,22.8,,2.4,1,78.9,10.7,3.24,21.8,,4
192,진주,2014-09-05,22.4,,2.4,.7,76.5,11.6,3.23,21.53,,3.9
192,진주,2014-09-06,21.2,.5,2.4,.7,86.1,4.9,2.03,11.51,,4.5
192,진주,2014-09-07,22.7,,3.1,.9,76.9,7.4,3.09,19.24,,3.9
192,진주,2014-09-08,23.4,,2.5,.8,76.4,11.1,3.01,21.71,,1.8
192,진주,2014-09-09,22.7,,2.7,.7,75.3,7.4,2.91,17.75,,5.4
192,진주,2014-09-10,22.3,,2,.9,67,8,3.01,18.7,,4.4
192,진주,2014-09-11,22.4,0,2.9,1.1,69.6,10.2,3.11,21.24,,4.5
192,진주,2014-09-12,20.8,,1.7,.6,78,.2,1.2,7.52,,8.4
192,진주,2014-09-13,20.9,,3.9,1.2,70.4,11.4,2.93,21.54,,2.1
192,진주,2014-09-14,19.8,,2.9,.8,74.9,9.2,2.4,15.66,,4.9
192,진주,2014-09-15,21,.2,1.7,.6,76.6,5.5,2.24,14.75,,6.9
192,진주,2014-09-16,22.7,,2.7,.9,68.8,10.2,2.94,19.67,,5.8
192,진주,2014-09-17,20.7,20,2.4,.6,90.9,0,.57,2.82,,10
192,진주,2014-09-18,20.1,,3.1,1,75.3,5.6,2.49,14.19,,8.5
192,진주,2014-09-19,18,,2.5,.7,79.3,1.3,1.47,9.55,,6.8
192,진주,2014-09-20,18.2,,3.6,.9,70.4,9.9,2.9,20.08,,1.4
192,진주,2014-09-21,18.5,,3.2,.9,72.4,10.7,2.92,20.52,,2.1
192,진주,2014-09-22,19.3,,3.3,1,69.5,10,3,19.86,,1.9
192,진주,2014-09-23,19.2,12,2.8,.8,79.6,1.4,1.57,9.53,,8.3
192,진주,2014-09-24,19.4,80.5,3,1.1,94.3,0,.52,2.75,,9.9
192,진주,2014-09-25,20.2,,3.2,.8,80.8,8.2,2.72,16.84,,4.4
192,진주,2014-09-26,20.4,,3.5,1.1,76.9,6.9,3.04,15.36,,4.9
192,진주,2014-09-27,20,,2.2,.7,78.4,9.2,2.8,18.07,,2.1
192,진주,2014-09-28,20.7,,3.4,.7,77.3,10.4,2.69,18.42,,1.3
192,진주,2014-09-29,20.4,.5,2,.6,87.5,.8,1.58,6.35,,9.3
192,진주,2014-09-30,19.9,.1,3.5,1.4,75.4,5.3,2.09,10.82,,8.4
192,진주,2014-10-01,18.5,,3.2,.9,74.3,7.4,2.23,14.2,,5
192,진주,2014-10-02,18.4,,2.6,.8,76.1,9.3,2.57,15.44,,3.5
192,진주,2014-10-03,17.9,,4.4,1.5,68.3,9.7,2.85,19.48,,.3
192,진주,2014-10-04,17,,4.7,1.9,61.9,10.2,2.52,15.94,,2.4
192,진주,2014-10-05,17.5,,4.5,2.6,52.6,10.7,2.75,17.93,,1
192,진주,2014-10-06,15.9,,3.8,1.2,61,10.6,2.81,19.1,,.8
192,진주,2014-10-07,14.8,,3.4,.6,72.5,10.7,2.73,18.52,,.4
192,진주,2014-10-08,15.3,,3.3,.7,74.1,10.6,2.74,17.42,,1
192,진주,2014-10-09,15.6,,3,.8,74.3,9.7,2.71,17.42,,3.8
192,진주,2014-10-10,17.8,,4.2,1.4,68.5,9.3,2.31,15.42,,2.1
192,진주,2014-10-11,19.3,,4.5,2.3,56.3,10.5,2.72,18.12,,.3
192,진주,2014-10-12,17.9,3,3.7,2.1,71,0,.95,3.82,,9.4
192,진주,2014-10-13,16.4,30.5,4.2,2.2,80.6,0,.45,2.76,,8.1
192,진주,2014-10-14,13.9,,2.6,.7,73.9,7.6,2.68,15.26,,4.1
192,진주,2014-10-15,14,,3,.8,80.6,8.3,2.53,14.14,,2.3
192,진주,2014-10-16,12.7,,5.3,1.1,66,10.1,2.32,15.56,,1.3
192,진주,2014-10-17,11.6,,2.7,.8,61.9,10.4,2.7,18.15,,1.3
192,진주,2014-10-18,12,,2.2,.6,68.9,10.3,2.62,17.2,,0
192,진주,2014-10-19,14.3,,2.7,.8,71.5,8.9,2.53,15.73,,4.6
192,진주,2014-10-20,18,8,2,.6,92.3,0,.51,2.85,,10
192,진주,2014-10-21,17.9,75,3.4,1,95.5,.8,1.45,5.18,,10
192,진주,2014-10-22,12.6,26,3.5,1.6,88.8,0,.48,2.05,,7.6
192,진주,2014-10-23,11.3,,2.2,.6,82.6,9,2.51,15.74,,2.6
192,진주,2014-10-24,13,,1.8,.5,81.8,7.9,2.45,14.71,,0
192,진주,2014-10-25,13.5,,2.1,.6,80.1,8.6,2.46,15.45,,.8
192,진주,2014-10-26,13.9,,2.2,.6,82.8,10,2.43,15.53,,.5
192,진주,2014-10-27,12.8,,3.7,.9,74.4,9.3,2.43,15.71,,0
192,진주,2014-10-28,9.7,,2.3,.6,70.5,10,2.48,15.93,,0
192,진주,2014-10-29,10.9,,1.5,.5,80.9,4.4,2.16,10.35,,5
192,진주,2014-10-30,12.6,,1.5,.4,82.1,5.1,1.71,9.79,,6.5
192,진주,2014-10-31,12.3,22,2.9,.7,96.5,0,.29,1.32,,10
192,진주,2014-11-01,14.9,.5,1.6,.5,90.5,1,1.32,6.2,,8
192,진주,2014-11-02,13.2,0,5.7,1.8,60.3,4.3,1.62,6.37,,5.1
192,진주,2014-11-03,9,,4.7,2.1,48.1,9.9,2.39,15.3,,0
192,진주,2014-11-04,8,,2.6,.7,73.1,9.7,2.34,14.92,,.3
192,진주,2014-11-05,8.7,,2.4,.6,75.4,9.7,2.37,14.71,,1.8
192,진주,2014-11-06,11.1,,2.5,.7,78.5,6.7,1.98,10.78,,4.4
192,진주,2014-11-07,10.9,,1.9,.5,75.1,9.4,2.07,12.65,,3
192,진주,2014-11-08,11.6,3,1.4,.3,92.3,0,.7,3.44,,9.9
192,진주,2014-11-09,11.7,.1,3.6,1,72.5,8.8,2.13,13.13,,2.5
192,진주,2014-11-10,8.3,,1.9,.5,74,9.2,2.15,13.37,,1.3
192,진주,2014-11-11,8,,2.1,.6,76.8,8.7,1.88,11.04,,4.4
192,진주,2014-11-12,9.4,0,6.9,2.5,58.3,8.4,2.23,12.4,,5
192,진주,2014-11-13,4.3,,4.3,2,49,9.4,2.28,13.41,,.5
192,진주,2014-11-14,3.9,,4,.9,68.5,8,1.99,10.74,,.9
192,진주,2014-11-15,5.5,,2.4,.7,67.3,7.7,1.96,11.3,,4.4
192,진주,2014-11-16,8.1,,2.7,.7,62,6.8,1.93,10.05,,6.8
192,진주,2014-11-17,7,,4,1,66.5,8.1,1.77,9.68,,1.6
192,진주,2014-11-18,6.4,,3.3,1,54.4,9.2,2.16,13.31,,0
192,진주,2014-11-19,4.1,,2.2,.6,64,8.5,2.18,12.77,,3.8
192,진주,2014-11-20,4.9,,2.3,.6,64.5,9.1,2.09,12.68,,1.1
192,진주,2014-11-21,6.2,,1.5,.4,78.3,7,1.77,9.6,,2.6
192,진주,2014-11-22,8.7,,2,.5,76.6,8.7,1.99,11.54,,1.8
192,진주,2014-11-23,9.3,,1.1,.3,79.8,2.7,1.04,6.03,,6.5
192,진주,2014-11-24,9.8,61,3.6,.7,96,0,.16,.57,,9.6
192,진주,2014-11-25,10.8,.5,2.9,1.4,76.6,.5,.95,3.37,,9.3
192,진주,2014-11-26,8.5,,2.6,.6,78,6.2,1.8,8.96,,3.8
192,진주,2014-11-27,7.5,,2.7,.6,84.5,8,1.88,10.71,,1
192,진주,2014-11-28,7.8,3.5,2.3,.5,97.5,0,.17,1.16,,8.8
192,진주,2014-11-29,9.5,,2.7,.7,84.8,8.7,1.83,11.31,,3.9
192,진주,2014-11-30,9.7,9.5,1.7,.5,98,0,.54,2.16,,9.5
192,진주,2014-12-01,5.9,,8.2,3.4,45.9,8.5,2.05,11.48,,3.8
192,진주,2014-12-02,-.5,,5.8,2.6,47.3,8.5,1.89,10.08,,1.3
192,진주,2014-12-03,2.2,,6.5,2.9,61.5,7.5,1.6,9.35,,5.6
192,진주,2014-12-04,2.3,0,6,1.8,69.1,6.9,2.15,9.63,,5.5
192,진주,2014-12-05,-.2,0,4.3,1.9,50.9,8.6,2,10.58,,2
192,진주,2014-12-06,-.9,,5.4,1.6,58.6,8.6,1.94,11.42,,.4
192,진주,2014-12-07,-.7,,2.4,.7,65.3,7.2,1.37,8.37,,3.1
192,진주,2014-12-08,1.5,2.3,3.4,1.2,68.3,7.8,1.73,9.63,2.5,3.9
192,진주,2014-12-09,-.2,,3.7,.9,56.4,8.5,1.98,12.34,,2.1
192,진주,2014-12-10,6.1,,2.7,1,57.5,6.7,1.76,9.31,,7.9
192,진주,2014-12-11,4.8,,5.2,1.5,56.4,5.7,1.51,7.77,,7.3
192,진주,2014-12-12,1.7,,5.8,1.5,55.9,6.6,1.63,8.96,,5.6
192,진주,2014-12-13,.6,0,5.7,1.8,55.8,8.2,1.9,10.26,,2.5
192,진주,2014-12-14,-1.2,,3.7,1,52.5,8.4,1.93,11.32,,0
192,진주,2014-12-15,1.8,0,3.8,.7,64.6,5.3,1.71,8.18,,7.4
192,진주,2014-12-16,1.3,5,5.4,2.5,59,6.1,1.6,7.77,,8
192,진주,2014-12-17,-2.6,,7.2,3.4,39.4,8.4,1.43,9.24,,1.3
192,진주,2014-12-18,-1.7,,4.6,2.1,33.5,8.5,2,11.79,,0
192,진주,2014-12-19,-.9,1.5,1.6,.7,63,3.8,1.25,6.43,,7.3
192,진주,2014-12-20,1.5,2,4.2,1.3,68.9,5,1.45,7.13,,4.9
192,진주,2014-12-21,-.8,0,5.2,1.6,56.5,7.8,1.76,9.84,,3.6
192,진주,2014-12-22,-.9,,4.3,1,63.4,7.9,1.43,8.17,,.8
192,진주,2014-12-23,-.4,,2.6,.5,74.8,8.3,1.64,9.49,,2.4
192,진주,2014-12-24,3.4,,6.3,1.6,62.1,7.8,1.78,9.43,,2.5
192,진주,2014-12-25,.2,,4.3,1.1,51.6,5.6,1.94,9.76,,.5
192,진주,2014-12-26,-2,,2.3,.5,58.8,8.3,1.95,11.25,,.5
192,진주,2014-12-27,-1.7,,1.5,.4,64.1,8.3,1.78,11.24,,1.4
192,진주,2014-12-28,-1.5,,1.6,.3,71.6,1.8,1.1,5.96,,6
192,진주,2014-12-29,.6,,2.2,.5,74.3,8.3,1.73,9.97,,.4
192,진주,2014-12-30,1.6,,4.4,.7,67.4,8,1.85,10.12,,0
192,진주,2014-12-31,.4,.5,5.7,1.7,58.6,5.1,1.41,6.57,,4
192,진주,2015-01-01,-3.1,,5.6,2.5,38.5,8.5,1.99,11.47,,.6
192,진주,2015-01-02,-3.3,,4.2,1.2,55.4,6.9,1.4,7.83,,1.1
192,진주,2015-01-03,-3,,1.7,.5,53.1,8.5,2.05,11.19,,2
192,진주,2015-01-04,.4,,2.3,.5,71.8,8.4,1.79,10.26,,.5
192,진주,2015-01-05,2.7,6.5,2,.5,80.3,4.6,1.43,7.59,,7
192,진주,2015-01-06,4.8,5.5,6,2.5,45.4,8.5,2.04,11.75,,3.8
192,진주,2015-01-07,.7,,4.6,1.9,24.6,7.8,2.14,11.94,,2.5
192,진주,2015-01-08,-2.1,,2.9,.6,53.6,8.7,2.04,12.33,,0
192,진주,2015-01-09,-1.1,,4.4,.8,66.3,8.7,1.91,11.74,,.1
192,진주,2015-01-10,-.1,,2.6,.7,63.5,8.8,1.98,12.51,,0
192,진주,2015-01-11,-.3,,4.6,1.3,58.3,8.3,1.95,11.14,,0
192,진주,2015-01-12,-.9,,3.3,1,45.9,8.8,2.05,12.12,,0
192,진주,2015-01-13,.1,,1.9,.4,62.5,6.2,1.61,9.43,,5
192,진주,2015-01-14,2.8,.2,1.2,.4,75.3,0,.55,2.46,,10
192,진주,2015-01-15,4.4,,3.3,.7,66.4,4.9,1.23,8.2,,4.5
192,진주,2015-01-16,1.7,,4.9,1,68.8,7,1.49,8.1,,4.3
192,진주,2015-01-17,1.4,,5.2,2.2,35.3,8.9,2.14,12.84,,.6
192,진주,2015-01-18,.2,0,6.3,1.3,50.8,8.9,2.11,13.14,,2.4
192,진주,2015-01-19,2.9,.1,5.7,1.4,57.5,8.7,1.85,11.38,,.9
192,진주,2015-01-20,.6,,2.8,.8,58.8,8.6,2.12,13.04,,3
192,진주,2015-01-21,2.9,7.5,2,.7,75.9,0,.54,2.66,,10
192,진주,2015-01-22,3.6,,3,.8,85.9,1.3,.82,4.46,,9
192,진주,2015-01-23,1.1,,3.5,.7,81.8,6.9,2,10.62,,2.8
192,진주,2015-01-24,.6,,1.8,.5,77.9,9,2.09,12.92,,
192,진주,2015-01-25,1.7,5.5,2.3,.6,89.4,.5,.71,3.54,,
192,진주,2015-01-26,6.7,3.5,1.7,.5,90.9,1.8,1.23,5.67,,8.5
192,진주,2015-01-27,2.1,,4.2,1.3,62.8,5.8,1.57,9.06,,4
192,진주,2015-01-28,-.6,,3.9,1.1,55.1,7.9,2.25,12.78,,3.5
192,진주,2015-01-29,1.8,.5,2.5,.6,81.4,0,.76,3.26,,10
192,진주,2015-01-30,2.1,.5,6,2.3,54.3,7.8,2.15,12.48,,2.8
192,진주,2015-01-31,-1.6,,3.5,1.3,45.8,9.5,2.36,14.88,,
192,진주,2015-02-01,-1.6,,2.4,.6,53.3,9.5,2.33,15.27,,
192,진주,2015-02-02,.2,,2.4,.5,60.5,7.3,2.11,11.28,,3.3
192,진주,2015-02-03,2.3,,2.5,.6,66.1,7.2,1.94,11.3,,3.3
192,진주,2015-02-04,2.1,,4.2,1.3,54.1,8.3,2.09,12.7,,3
192,진주,2015-02-05,.1,,4.6,1.6,57.5,9.4,2.14,13.22,,0
192,진주,2015-02-06,.4,,3.6,.8,61.5,9.7,2.32,15.01,,.5
192,진주,2015-02-07,1.9,,4.4,.7,64.3,6.8,2.33,13.28,,
192,진주,2015-02-08,-2.2,,7.1,3,31.6,9.8,2.49,16.14,,
192,진주,2015-02-09,-4.3,,4.8,1.2,39.5,9.9,2.54,16.35,,0
192,진주,2015-02-10,.6,,4.5,1.5,56.1,9.9,2.08,13.52,,0
192,진주,2015-02-11,2.3,,5.6,1.1,63.4,8.7,2.15,12.46,,3.5
192,진주,2015-02-12,1.3,,5,1.9,49.5,9.9,2.53,16.2,,0
192,진주,2015-02-13,-.4,,3.4,1.2,38.9,9.6,2.53,16.29,,0
192,진주,2015-02-14,1.5,,3.8,.9,59.5,10.1,2.47,15.77,,
192,진주,2015-02-15,2.1,7,1.4,.4,87,0,.23,1.29,,
192,진주,2015-02-16,5,17.5,1.5,.5,98,0,.14,.79,,10
192,진주,2015-02-17,4.3,,4,1.1,73.8,7.4,2.4,12.29,,2.8
192,진주,2015-02-18,2.4,,3.7,1.2,65.3,5.8,1.89,11.23,,
192,진주,2015-02-19,2.3,,3.6,1,62.9,9.9,2.51,16.36,,
192,진주,2015-02-20,3.3,,2.9,.7,69.9,8.9,2.4,14.42,,
192,진주,2015-02-21,5,16,2.8,.9,93.3,.2,.28,1.57,,
192,진주,2015-02-22,7.8,.5,2.8,.7,78.9,4.9,2.24,9.18,,2.5
192,진주,2015-02-23,4.1,,2.5,.8,55.8,6.8,2.55,14.27,,4.8
192,진주,2015-02-24,4.2,,2.5,.8,58.3,8.1,2.56,15.47,,2.5
192,진주,2015-02-25,4.9,,2.1,.5,66.9,2.2,1.85,7.71,,9.8
192,진주,2015-02-26,4.7,,5.5,2.1,52.9,7.4,2.23,13.79,,3
192,진주,2015-02-27,.6,,5,1.7,37,9.1,2.3,14.84,,4.5
192,진주,2015-02-28,1.1,5,3.3,1,64,.3,.83,4.62,.5,10
192,진주,2015-03-01,2.6,.5,5.4,1.2,71.4,8,2.74,16.14,0,10
192,진주,2015-03-02,3.5,,2.9,1.2,49.1,10.8,2.82,19.2,,0
192,진주,2015-03-03,1.4,11,1.7,.6,93,.5,.67,3.2,1.2,9.5
192,진주,2015-03-04,1.4,,6.2,2.8,38.1,9.8,2.9,19.37,,2.8
192,진주,2015-03-05,2.2,,3.5,1.3,41,8.2,2.83,16.92,,5.3
