"년월일","호기","구분","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2019-01-01","1","발전량","0","0","0","0","0","0","0","0.72","85.68","226.8","408.24","525.6","541.44","560.88","443.52","327.6","90.72","3.6","0","0","0","0","0","0"
"2019-01-02","1","발전량","0","0","0","0","0","0","0","1.44","92.16","272.88","451.44","540.72","573.12","570.96","504","362.16","143.28","5.04","0","0","0","0","0","0"
"2019-01-03","1","발전량","0","0","0","0","0","0","0","0.72","97.92","295.92","454.32","548.64","586.8","569.52","499.68","352.8","141.84","6.48","0","0","0","0","0","0"
"2019-01-04","1","발전량","0","0","0","0","0","0","0","0.72","92.16","221.76","315.36","387.36","120.24","180","147.6","84.24","28.8","4.32","0","0","0","0","0","0"
"2019-01-05","1","발전량","0","0","0","0","0","0","0","0","47.52","144.72","326.16","455.76","162","343.44","433.44","306","118.08","7.2","0","0","0","0","0","0"
"2019-01-06","1","발전량","0","0","0","0","0","0","0","0","43.2","197.28","408.24","551.52","586.8","571.68","501.84","356.4","146.88","7.2","0","0","0","0","0","0"
"2019-01-07","1","발전량","0","0","0","0","0","0","0","1.44","72","218.88","368.64","488.88","518.4","491.76","440.64","281.52","130.32","7.2","0","0","0","0","0","0"
"2019-01-08","1","발전량","0","0","0","0","0","0","0","0.72","69.84","248.4","399.6","501.12","544.32","516.96","400.32","298.08","133.92","9.36","0","0","0","0","0","0"
"2019-01-09","1","발전량","0","0","0","0","0","0","0","0.72","79.92","215.28","416.88","511.2","487.44","269.28","187.92","148.32","114.48","6.48","0","0","0","0","0","0"
"2019-01-10","1","발전량","0","0","0","0","0","0","0","0","33.84","116.64","301.68","508.32","567.36","560.88","499.68","361.44","154.08","10.8","0","0","0","0","0","0"
"2019-01-11","1","발전량","0","0","0","0","0","0","0","1.44","39.6","123.84","404.64","474.48","532.08","516.24","444.96","296.64","87.12","7.2","0","0","0","0","0","0"
"2019-01-12","1","발전량","0","0","0","0","0","0","0","0","3.6","61.92","106.56","90.72","142.56","364.32","341.28","308.88","138.96","12.24","0","0","0","0","0","0"
"2019-01-13","1","발전량","0","0","0","0","0","0","0","0.72","53.28","246.24","414","519.12","562.32","548.64","481.68","345.6","155.52","12.24","0","0","0","0","0","0"
"2019-01-14","1","발전량","0","0","0","0","0","0","0","0.72","73.44","261.36","424.08","528.48","550.08","460.8","467.28","304.56","69.84","22.32","0","0","0","0","0","0"
"2019-01-15","1","발전량","0","0","0","0","0","0","0","0","51.12","185.76","343.44","448.56","483.12","462.24","383.04","250.56","100.08","10.08","0","0","0","0","0","0"
"2019-01-16","1","발전량","0","0","0","0","0","0","0","0.72","97.2","306","466.56","565.2","610.56","596.16","530.64","407.52","193.68","18","0","0","0","0","0","0"
"2019-01-17","1","발전량","0","0","0","0","0","0","0","0.72","97.2","300.96","460.08","555.84","595.44","583.2","509.04","404.64","208.08","25.2","0","0","0","0","0","0"
"2019-01-18","1","발전량","0","0","0","0","0","0","0","1.44","98.64","292.32","447.84","552.96","593.28","581.04","519.12","392.4","182.88","15.84","0","0","0","0","0","0"
"2019-01-19","1","발전량","0","0","0","0","0","0","0","0","67.68","167.04","433.44","534.96","522","367.92","81.36","27.36","12.96","0","0","0","0","0","0","0"
"2019-01-20","1","발전량","0","0","0","0","0","0","0","0.72","47.52","221.76","407.52","532.8","612","603.36","534.96","404.64","197.28","21.6","0","0","0","0","0","0"
"2019-01-21","1","발전량","0","0","0","0","0","0","0","1.44","100.08","306","474.48","567.36","614.88","599.76","541.44","411.84","203.76","23.76","0","0","0","0","0","0"
"2019-01-22","1","발전량","0","0","0","0","0","0","0","1.44","105.12","300.24","448.56","544.32","592.56","576","502.56","362.88","179.28","21.6","0","0","0","0","0","0"
"2019-01-23","1","발전량","0","0","0","0","0","0","0","1.44","75.6","249.12","410.4","514.8","545.76","522","461.52","342","155.52","20.16","0","0","0","0","0","0"
"2019-01-24","1","발전량","0","0","0","0","0","0","0","2.16","100.08","305.28","465.84","563.76","609.12","593.28","527.76","404.64","206.64","28.08","0","0","0","0","0","0"
"2019-01-25","1","발전량","0","0","0","0","0","0","0","0","35.28","101.52","244.08","380.88","367.92","207.36","216.72","274.32","182.88","37.44","0","0","0","0","0","0"
"2019-01-26","1","발전량","0","0","0","0","0","0","0","1.44","102.96","308.88","483.12","591.84","642.24","637.92","568.08","439.92","237.6","35.28","0","0","0","0","0","0"
"2019-01-27","1","발전량","0","0","0","0","0","0","0","2.16","117.36","323.28","485.28","582.48","622.8","612","563.76","432.72","224.64","35.28","0","0","0","0","0","0"
"2019-01-28","1","발전량","0","0","0","0","0","0","0","0.72","41.76","239.04","367.2","507.6","502.56","533.52","494.64","358.56","177.12","30.24","0","0","0","0","0","0"
"2019-01-29","1","발전량","0","0","0","0","0","0","0","2.88","105.12","300.96","471.6","570.96","612","598.32","532.8","414.72","226.8","38.88","0","0","0","0","0","0"
"2019-01-30","1","발전량","0","0","0","0","0","0","0","0","66.24","251.28","174.24","397.44","514.08","534.96","328.32","156.24","141.84","18.72","0","0","0","0","0","0"
"2019-01-31","1","발전량","0","0","0","0","0","0","0","0","0","13.68","25.92","33.12","44.64","42.48","49.68","92.16","115.92","23.76","0","0","0","0","0","0"
"2019-02-01","1","발전량","0","0","0","0","0","0","0","2.88","113.76","319.68","487.44","596.16","645.84","638.64","565.92","465.12","267.84","49.68","0","0","0","0","0","0"
"2019-02-02","1","발전량","0","0","0","0","0","0","0","3.6","120.24","325.44","486","581.76","622.08","618.48","545.04","410.4","227.52","18.72","0","0","0","0","0","0"
"2019-02-03","1","발전량","0","0","0","0","0","0","0","0","1.44","12.24","69.12","149.76","108.72","17.28","41.76","31.68","9.36","5.76","0","0","0","0","0","0"
"2019-02-04","1","발전량","0","0","0","0","0","0","0","4.32","117.36","326.88","496.08","602.64","635.76","622.8","543.6","444.96","200.88","35.28","0","0","0","0","0","0"
"2019-02-05","1","발전량","0","0","0","0","0","0","0","5.04","118.08","314.64","476.64","581.04","616.32","612","556.56","439.92","229.68","34.56","0","0","0","0","0","0"
"2019-02-06","1","발전량","0","0","0","0","0","0","0","5.76","110.88","323.28","480.96","511.92","552.24","587.52","521.28","370.08","141.12","25.92","0","0","0","0","0","0"
"2019-02-07","1","발전량","0","0","0","0","0","0","0","0","35.28","283.68","438.48","492.48","436.32","377.28","192.24","125.28","98.64","51.84","0","0","0","0","0","0"
"2019-02-08","1","발전량","0","0","0","0","0","0","0","0.72","43.92","221.04","429.12","596.88","632.88","627.12","568.08","448.56","256.32","48.24","0","0","0","0","0","0"
"2019-02-09","1","발전량","0","0","0","0","0","0","0","2.88","61.2","195.12","447.84","585.36","569.52","587.52","576.72","406.08","262.08","74.16","0","0","0","0","0","0"
"2019-02-10","1","발전량","0","0","0","0","0","0","0","10.8","106.56","242.64","270","357.84","365.04","428.4","432","205.2","80.64","27.36","0","0","0","0","0","0"
"2019-02-11","1","발전량","0","0","0","0","0","0","0","7.92","139.68","350.64","521.28","635.76","666.72","639.36","588.96","492.48","244.08","74.88","0","0","0","0","0","0"
"2019-02-12","1","발전량","0","0","0","0","0","0","0","8.64","131.04","321.84","483.84","594","637.2","627.84","570.96","423.36","199.44","46.8","0","0","0","0","0","0"
