"년월일","호기","구분","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2020-01-01","1","발전량","0","0","0","0","0","0","0","2.88","115.2","306","465.12","547.92","577.44","550.08","465.12","300.96","97.2","2.16","0","0","0","0","0","0"
"2020-01-02","1","발전량","0","0","0","0","0","0","0","2.16","92.88","267.12","404.64","486.72","514.8","493.2","420.48","272.88","85.68","2.16","0","0","0","0","0","0"
"2020-01-03","1","발전량","0","0","0","0","0","0","0","2.16","88.56","265.68","408.24","488.88","534.24","513.36","428.4","277.2","92.88","1.44","0","0","0","0","0","0"
"2020-01-04","1","발전량","0","0","0","0","0","0","0","1.44","80.64","208.8","343.44","498.96","545.76","519.84","438.48","284.4","92.88","2.16","0","0","0","0","0","0"
"2020-01-05","1","발전량","0","0","0","0","0","0","0","2.16","110.16","305.28","455.76","547.92","573.84","552.24","465.12","235.44","112.32","4.32","0","0","0","0","0","0"
"2020-01-06","1","발전량","0","0","0","0","0","0","0","0","5.76","51.12","66.96","43.92","56.88","46.8","41.04","20.16","2.88","0","0","0","0","0","0","0"
"2020-01-07","1","발전량","0","0","0","0","0","0","0","0","0","4.32","12.96","19.44","75.6","103.68","61.92","11.52","0","0","0","0","0","0","0","0"
"2020-01-08","1","발전량","0","0","0","0","0","0","0","0.72","92.88","315.36","453.6","298.08","300.24","130.32","108.72","109.44","40.32","3.6","0","0","0","0","0","0"
"2020-01-09","1","발전량","0","0","0","0","0","0","0","2.88","107.28","205.92","442.08","475.92","487.44","459.36","345.6","197.28","72","3.6","0","0","0","0","0","0"
"2020-01-10","1","발전량","0","0","0","0","0","0","0","2.88","106.56","290.88","298.08","486","560.88","548.64","466.56","325.44","124.56","2.88","0","0","0","0","0","0"
"2020-01-11","1","발전량","0","0","0","0","0","0","0","2.16","105.84","267.12","429.12","511.92","558","532.8","452.88","305.28","110.88","2.16","0","0","0","0","0","0"
"2020-01-12","1","발전량","0","0","0","0","0","0","0","3.6","90.72","288.72","457.2","556.56","578.88","572.4","493.2","342.72","131.76","6.48","0","0","0","0","0","0"
"2020-01-13","1","발전량","0","0","0","0","0","0","0","3.6","122.4","316.08","438.48","517.68","545.76","384.48","293.76","254.16","138.96","6.48","0","0","0","0","0","0"
"2020-01-14","1","발전량","0","0","0","0","0","0","0","2.16","39.6","91.44","190.8","275.04","284.4","327.6","426.24","262.8","123.84","7.2","0","0","0","0","0","0"
"2020-01-15","1","발전량","0","0","0","0","0","0","0","2.88","113.04","316.08","473.04","563.04","595.44","578.16","511.92","367.2","133.2","3.6","0","0","0","0","0","0"
"2020-01-16","1","발전량","0","0","0","0","0","0","0","0","40.32","131.04","270","424.08","561.6","570.24","452.88","331.2","95.76","5.04","0","0","0","0","0","0"
"2020-01-17","1","발전량","0","0","0","0","0","0","0","1.44","84.96","208.08","276.48","303.12","464.4","522","382.32","312.48","135.36","8.64","0","0","0","0","0","0"
"2020-01-18","1","발전량","0","0","0","0","0","0","0","0.72","35.28","241.2","403.2","483.12","607.68","588.96","493.2","364.32","154.8","10.8","0","0","0","0","0","0"
